Run,Algorithm,Heuristic,Execution Time (ms),Memory Used (Bytes)
69,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
70,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
71,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
72,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
73,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
74,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
75,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
76,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
77,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
78,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
79,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
80,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
81,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
82,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
83,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
84,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
85,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
86,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
87,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
88,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
89,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
90,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
91,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,9,192
92,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
93,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
94,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
95,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
96,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
97,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
98,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
99,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
